Order_ID,Date,City,Category,Product,Quantity,Unit_Price,Total_Sales,Payment_Method,Calculated_Sales
1001,2026-01-03,Pune,Electronics,Laptop,1,55000,55000,Online,55000
1002,2026-01-05,Mumbai,Grocery,Rice,5,1200,6000,Cash,6000
1003,2026-01-08,Pune,Clothing,Shirt,3,900,2700,UPI,2700
1004,2026-01-10,Nashik,Electronics,Headphones,4,1800,7200,Online,7200
1005,2026-01-12,Mumbai,Grocery,Oil,6,160,960,UPI,960
1006,2026-01-15,Pune,Furniture,Chair,2,2500,5000,Cash,5000
1007,2026-01-18,Nagpur,Clothing,Jeans,3,1800,5400,Online,5400
1008,2026-01-20,Mumbai,Electronics,Mobile,2,22000,44000,UPI,44000
1009,2026-01-22,Pune,Grocery,Sugar,8,50,400,Cash,400
1010,2026-01-25,Nashik,Furniture,Table,1,6500,6500,Online,6500
1011,2026-02-02,Nagpur,Electronics,Laptop,2,55000,110000,Online,110000
1012,2026-02-05,Mumbai,Clothing,T-Shirt,5,700,3500,UPI,3500
1013,2026-02-08,Pune,Electronics,Keyboard,6,1200,7200,Cash,7200
1014,2026-02-10,Nashik,Grocery,Rice,10,1200,12000,UPI,12000
1015,2026-02-13,Nagpur,Furniture,Chair,4,2500,10000,Online,10000
1016,2026-02-15,Mumbai,Electronics,Tablet,3,18000,54000,Online,54000
1017,2026-02-18,Pune,Clothing,Jeans,2,1800,3600,Cash,3600
1018,2026-02-20,Nashik,Grocery,Oil,7,160,1120,UPI,1120
1019,2026-02-23,Nagpur,Electronics,Headphones,5,1800,9000,Cash,9000
1020,2026-02-25,Mumbai,Furniture,Table,2,6500,13000,Online,13000
1021,2026-03-03,Pune,Electronics,Mobile,4,22000,88000,UPI,88000
1022,2026-03-06,Nashik,Clothing,Shirt,6,900,5400,Cash,5400
1023,2026-03-09,Nagpur,Grocery,Sugar,12,50,600,Online,600
1024,2026-03-12,Mumbai,Electronics,Keyboard,8,1200,9600,UPI,9600
1025,2026-03-15,Pune,Furniture,Chair,3,2500,7500,Cash,7500
